area,level,year,household,parking,fuel,SNU,sratio,med,popden,edu,lnsubnet,lngreen,lnwater,spring,fall,winter,score,sentiment,lnprice,longitude,latitude
34.5532,5,2017,70,0.67,0,32,94.12315861,38,15538.75,43.8433716,6.852184974,5.823489007,6.427642754,0,0,1,4,2.428571429,9.46498259,127.373679,36.350977
29.9023,6,2019,14,0.5,0,15,106.635912,41,11646,27.60517597,6.895256178,6.155678627,5.723100352,0,0,1,4.67,3.014285714,9.903487553,127.421421,36.334184
29.9023,7,2019,14,0.5,0,15,106.635912,41,11646,27.60517597,6.895256178,6.155678627,5.723100352,0,0,1,4.67,3.014285714,9.903487553,127.421421,36.334184
29.6365,5,2019,14,0.5,0,15,106.635912,41,11646,27.60517597,6.895256178,6.155678627,5.723100352,0,0,1,4.67,3.014285714,9.952277717,127.421421,36.334184
29.6365,4,2019,14,0.5,0,15,106.635912,41,11646,27.60517597,6.895256178,6.155678627,5.723100352,0,0,1,4.67,3.014285714,9.952277717,127.421421,36.334184
29.6365,7,2019,14,0.5,0,15,106.635912,41,11646,27.60517597,6.895256178,6.155678627,5.723100352,0,0,1,4.67,3.014285714,9.952277717,127.421421,36.334184
29.9023,8,2019,14,0.5,0,15,106.635912,41,11646,27.60517597,6.895256178,6.155678627,5.723100352,0,0,1,4.67,3.014285714,9.903487553,127.421421,36.334184
170.728,14,2008,168,3.29,0,18,106.9881159,36,2395.487106,34.0808894,4.603515669,4.821775323,5.910245007,0,0,1,5,2.619047619,10.77478092,127.340423,36.353466
170.728,26,2008,168,3.29,0,18,106.9881159,36,2395.487106,34.0808894,4.603515669,4.821775323,5.910245007,0,0,1,5,2.619047619,10.75790288,127.340423,36.353466
179.397,5,2008,168,3.29,0,18,106.9881159,36,2395.487106,34.0808894,4.603515669,4.821775323,5.910245007,0,0,1,5,2.619047619,10.59663473,127.340423,36.353466
127.509,8,2008,168,3.29,0,18,106.9881159,36,2395.487106,34.0808894,4.603515669,4.821775323,5.910245007,0,0,1,5,2.619047619,10.40426284,127.340423,36.353466
151.902,5,2008,168,3.29,0,18,106.9881159,36,2395.487106,34.0808894,4.603515669,4.821775323,5.910245007,1,0,0,5,2.619047619,10.50506754,127.340423,36.353466
170.728,5,2008,168,3.29,0,18,106.9881159,36,2395.487106,34.0808894,4.603515669,4.821775323,5.910245007,0,0,0,5,2.619047619,10.80161431,127.340423,36.353466
